areaCode,areaName,areaType,date,newCasesByPublishDate,rollingAvg,caseRate
E10000015,Hertfordshire,utla,2021-04-01,66,66,5.55
E12000006,East of England,region,2021-04-01,331,331,5.31
E92000001,England,nation,2021-04-01,3784,3784,6.72
E10000015,Hertfordshire,utla,2021-04-02,37,51.5,4.33
E12000006,East of England,region,2021-04-02,260,295.5,4.74
E92000001,England,nation,2021-04-02,2881,3332.5,5.92
E10000015,Hertfordshire,utla,2021-04-03,54,52.333333333333336,4.4
E12000006,East of England,region,2021-04-03,227,272.6666666666667,4.37
E92000001,England,nation,2021-04-03,2847,3170.6666666666665,5.63
E10000015,Hertfordshire,utla,2021-04-04,35,48,4.04
E12000006,East of England,region,2021-04-04,158,244,3.91
E92000001,England,nation,2021-04-04,1954,2866.5,5.09
E10000015,Hertfordshire,utla,2021-04-05,24,43.2,3.63
E12000006,East of England,region,2021-04-05,141,223.4,3.58
E92000001,England,nation,2021-04-05,2236,2740.4,4.87
E10000015,Hertfordshire,utla,2021-04-06,37,42.166666666666664,3.54
E12000006,East of England,region,2021-04-06,191,218,3.5
E92000001,England,nation,2021-04-06,1937,2606.5,4.63
E10000015,Hertfordshire,utla,2021-04-07,31,40.57142857142857,3.41
E12000006,East of England,region,2021-04-07,198,215.14285714285714,3.45
E92000001,England,nation,2021-04-07,2304,2563.285714285714,4.55
E10000015,Hertfordshire,utla,2021-04-08,31,35.57142857142857,2.99
E12000006,East of England,region,2021-04-08,202,196.71428571428572,3.15
E92000001,England,nation,2021-04-08,2486,2377.8571428571427,4.22
E10000015,Hertfordshire,utla,2021-04-09,0,30.285714285714285,2.55
E12000006,East of England,region,2021-04-09,0,159.57142857142858,2.56
E92000001,England,nation,2021-04-09,2638,2343.1428571428573,4.16
E10000015,Hertfordshire,utla,2021-04-10,25,26.142857142857142,2.2
E12000006,East of England,region,2021-04-10,161,150.14285714285714,2.41
E92000001,England,nation,2021-04-10,2032,2226.714285714286,3.96
E10000015,Hertfordshire,utla,2021-04-11,17,23.571428571428573,1.98
E12000006,East of England,region,2021-04-11,106,142.71428571428572,2.29
E92000001,England,nation,2021-04-11,1338,2138.714285714286,3.8
E10000015,Hertfordshire,utla,2021-04-12,72,30.428571428571427,2.56
E12000006,East of England,region,2021-04-12,369,175.28571428571428,2.81
E92000001,England,nation,2021-04-12,3222,2279.5714285714284,4.05
E10000015,Hertfordshire,utla,2021-04-13,36,30.285714285714285,2.55
E12000006,East of England,region,2021-04-13,204,177.14285714285714,2.84
E92000001,England,nation,2021-04-13,2070,2298.5714285714284,4.08
E10000015,Hertfordshire,utla,2021-04-14,26,29.571428571428573,2.49
E12000006,East of England,region,2021-04-14,146,169.71428571428572,2.72
E92000001,England,nation,2021-04-14,2054,2262.8571428571427,4.02
E10000015,Hertfordshire,utla,2021-04-15,35,30.142857142857142,2.53
E12000006,East of England,region,2021-04-15,222,172.57142857142858,2.77
E92000001,England,nation,2021-04-15,2171,2217.8571428571427,3.94
E10000015,Hertfordshire,utla,2021-04-16,39,35.714285714285715,3
E12000006,East of England,region,2021-04-16,206,202,3.24
E92000001,England,nation,2021-04-16,2225,2158.8571428571427,3.84
E10000015,Hertfordshire,utla,2021-04-17,23,35.42857142857143,2.98
E12000006,East of England,region,2021-04-17,176,204.14285714285714,3.27
E92000001,England,nation,2021-04-17,1897,2139.5714285714284,3.8
E10000015,Hertfordshire,utla,2021-04-18,28,37,3.11
E12000006,East of England,region,2021-04-18,134,208.14285714285714,3.34
E92000001,England,nation,2021-04-18,1495,2162,3.84
E10000015,Hertfordshire,utla,2021-04-19,39,32.285714285714285,2.71
E12000006,East of England,region,2021-04-19,228,188,3.01
E92000001,England,nation,2021-04-19,2550,2066,3.67
E10000015,Hertfordshire,utla,2021-04-20,36,32.285714285714285,2.71
E12000006,East of England,region,2021-04-20,205,188.14285714285714,3.02
E92000001,England,nation,2021-04-20,2169,2080.1428571428573,3.7
E10000015,Hertfordshire,utla,2021-04-21,35,33.57142857142857,2.82
E12000006,East of England,region,2021-04-21,148,188.42857142857142,3.02
E92000001,England,nation,2021-04-21,1943,2064.285714285714,3.67
E10000015,Hertfordshire,utla,2021-04-22,23,31.857142857142858,2.68
E12000006,East of England,region,2021-04-22,212,187,3
E92000001,England,nation,2021-04-22,2315,2084.8571428571427,3.7
E10000015,Hertfordshire,utla,2021-04-23,44,32.57142857142857,2.74
E12000006,East of England,region,2021-04-23,242,192.14285714285714,3.08
E92000001,England,nation,2021-04-23,2277,2092.285714285714,3.72
E10000015,Hertfordshire,utla,2021-04-24,28,33.285714285714285,2.8
E12000006,East of England,region,2021-04-24,163,190.28571428571428,3.05
E92000001,England,nation,2021-04-24,1804,2079,3.69
E10000015,Hertfordshire,utla,2021-04-25,13,31.142857142857142,2.62
E12000006,East of England,region,2021-04-25,132,190,3.05
E92000001,England,nation,2021-04-25,1401,2065.5714285714284,3.67
E10000015,Hertfordshire,utla,2021-04-26,33,30.285714285714285,2.55
E12000006,East of England,region,2021-04-26,222,189.14285714285714,3.03
E92000001,England,nation,2021-04-26,1752,1951.5714285714287,3.47
E10000015,Hertfordshire,utla,2021-04-27,37,30.428571428571427,2.56
E12000006,East of England,region,2021-04-27,267,198,3.18
E92000001,England,nation,2021-04-27,2410,1986,3.53
E10000015,Hertfordshire,utla,2021-04-28,27,29.285714285714285,2.46
E12000006,East of England,region,2021-04-28,138,196.57142857142858,3.15
E92000001,England,nation,2021-04-28,1829,1969.7142857142858,3.5
E10000015,Hertfordshire,utla,2021-04-29,38,31.428571428571427,2.64
E12000006,East of England,region,2021-04-29,181,192.14285714285714,3.08
E92000001,England,nation,2021-04-29,2103,1939.4285714285713,3.45
E10000015,Hertfordshire,utla,2021-04-30,35,30.142857142857142,2.53
E12000006,East of England,region,2021-04-30,174,182.42857142857142,2.93
E92000001,England,nation,2021-04-30,2046,1906.4285714285713,3.39
E10000015,Hertfordshire,utla,2021-05-01,19,28.857142857142858,2.43
E12000006,East of England,region,2021-05-01,132,178,2.85
E92000001,England,nation,2021-05-01,1642,1883.2857142857142,3.35
E10000015,Hertfordshire,utla,2021-05-02,17,29.428571428571427,2.47
E12000006,East of England,region,2021-05-02,134,178.28571428571428,2.86
E92000001,England,nation,2021-05-02,1377,1879.857142857143,3.34
E10000015,Hertfordshire,utla,2021-05-03,24,28.142857142857142,2.37
E12000006,East of England,region,2021-05-03,154,168.57142857142858,2.7
E92000001,England,nation,2021-05-03,1453,1837.142857142857,3.26
E10000015,Hertfordshire,utla,2021-05-04,29,27,2.27
E12000006,East of England,region,2021-05-04,158,153,2.45
E92000001,England,nation,2021-05-04,1659,1729.857142857143,3.07
E10000015,Hertfordshire,utla,2021-05-05,25,26.714285714285715,2.25
E12000006,East of England,region,2021-05-05,157,155.71428571428572,2.5
E92000001,England,nation,2021-05-05,1906,1740.857142857143,3.09
E10000015,Hertfordshire,utla,2021-05-06,38,26.714285714285715,2.25
E12000006,East of England,region,2021-05-06,224,161.85714285714286,2.6
E92000001,England,nation,2021-05-06,2194,1753.857142857143,3.12
E10000015,Hertfordshire,utla,2021-05-07,36,26.857142857142858,2.26
E12000006,East of England,region,2021-05-07,219,168.28571428571428,2.7
E92000001,England,nation,2021-05-07,2142,1767.5714285714287,3.14
E10000015,Hertfordshire,utla,2021-05-08,23,27.428571428571427,2.31
E12000006,East of England,region,2021-05-08,142,169.71428571428572,2.72
E92000001,England,nation,2021-05-08,1742,1781.857142857143,3.17
E10000015,Hertfordshire,utla,2021-05-09,20,27.857142857142858,2.34
E12000006,East of England,region,2021-05-09,104,165.42857142857142,2.65
E92000001,England,nation,2021-05-09,1418,1787.7142857142858,3.18
E10000015,Hertfordshire,utla,2021-05-10,32,29,2.44
E12000006,East of England,region,2021-05-10,199,171.85714285714286,2.76
E92000001,England,nation,2021-05-10,2009,1867.142857142857,3.32
E10000015,Hertfordshire,utla,2021-05-11,41,30.714285714285715,2.58
E12000006,East of England,region,2021-05-11,233,182.57142857142858,2.93
E92000001,England,nation,2021-05-11,2117,1932.5714285714287,3.43
E10000015,Hertfordshire,utla,2021-05-12,8,28.285714285714285,2.38
E12000006,East of England,region,2021-05-12,157,182.57142857142858,2.93
E92000001,England,nation,2021-05-12,1804,1918,3.41
E10000015,Hertfordshire,utla,2021-05-13,34,27.714285714285715,2.33
E12000006,East of England,region,2021-05-13,215,181.28571428571428,2.91
E92000001,England,nation,2021-05-13,2229,1923,3.42
E10000015,Hertfordshire,utla,2021-05-14,30,26.857142857142858,2.26
E12000006,East of England,region,2021-05-14,182,176,2.82
E92000001,England,nation,2021-05-14,1828,1878.142857142857,3.34
E10000015,Hertfordshire,utla,2021-05-15,24,27,2.27
E12000006,East of England,region,2021-05-15,161,178.71428571428572,2.87
E92000001,England,nation,2021-05-15,1614,1859.857142857143,3.3
E10000015,Hertfordshire,utla,2021-05-16,21,27.142857142857142,2.28
E12000006,East of England,region,2021-05-16,132,182.71428571428572,2.93
E92000001,England,nation,2021-05-16,1471,1867.4285714285713,3.32
E10000015,Hertfordshire,utla,2021-05-17,17,25,2.1
E12000006,East of England,region,2021-05-17,122,171.71428571428572,2.75
E92000001,England,nation,2021-05-17,1645,1815.4285714285713,3.23
E10000015,Hertfordshire,utla,2021-05-18,0,19.142857142857142,1.61
E12000006,East of England,region,2021-05-18,0,138.42857142857142,2.22
E92000001,England,nation,2021-05-18,2008,1799.857142857143,3.2
E10000015,Hertfordshire,utla,2021-05-19,25,21.571428571428573,1.81
E12000006,East of England,region,2021-05-19,114,132.28571428571428,2.12
E92000001,England,nation,2021-05-19,2151,1849.4285714285713,3.29
E10000015,Hertfordshire,utla,2021-05-20,35,21.714285714285715,1.83
E12000006,East of England,region,2021-05-20,184,127.85714285714286,2.05
E92000001,England,nation,2021-05-20,2307,1860.5714285714287,3.31
E10000015,Hertfordshire,utla,2021-05-21,32,22,1.85
E12000006,East of England,region,2021-05-21,198,130.14285714285714,2.09
E92000001,England,nation,2021-05-21,2303,1928.4285714285713,3.43
E10000015,Hertfordshire,utla,2021-05-22,23,21.857142857142858,1.84
E12000006,East of England,region,2021-05-22,150,128.57142857142858,2.06
E92000001,England,nation,2021-05-22,2242,2018.142857142857,3.59
E10000015,Hertfordshire,utla,2021-05-23,19,21.571428571428573,1.81
E12000006,East of England,region,2021-05-23,134,128.85714285714286,2.07
E92000001,England,nation,2021-05-23,1734,2055.714285714286,3.65
E10000015,Hertfordshire,utla,2021-05-24,42,25.142857142857142,2.11
E12000006,East of England,region,2021-05-24,180,137.14285714285714,2.2
E92000001,England,nation,2021-05-24,1972,2102.4285714285716,3.74
E10000015,Hertfordshire,utla,2021-05-25,29,29.285714285714285,2.46
E12000006,East of England,region,2021-05-25,158,159.71428571428572,2.56
E92000001,England,nation,2021-05-25,2081,2112.8571428571427,3.75
E10000015,Hertfordshire,utla,2021-05-26,46,32.285714285714285,2.71
E12000006,East of England,region,2021-05-26,164,166.85714285714286,2.68
E92000001,England,nation,2021-05-26,2540,2168.4285714285716,3.85
E10000015,Hertfordshire,utla,2021-05-27,45,33.714285714285715,2.83
E12000006,East of England,region,2021-05-27,224,172.57142857142858,2.77
E92000001,England,nation,2021-05-27,2936,2258.285714285714,4.01
E10000015,Hertfordshire,utla,2021-05-28,56,37.142857142857146,3.12
